Month,Type,Value,Year,Unit,Month_num
December,Total,19.9,2000,Occupancy rate of beds,12
December,East,3.8,2000,Occupancy rate of beds,12
December,Capital region,30.7,2000,Occupancy rate of beds,12
December,North,6.4,2000,Occupancy rate of beds,12
December,South,5.7,2000,Occupancy rate of beds,12
December,"West, Westfjords and Southwest to 2007",9.9,2000,Occupancy rate of beds,12
January,Total,28.5,2001,Occupancy rate of rooms,1
January,East,7.5,2001,Occupancy rate of rooms,1
January,Capital region,39.8,2001,Occupancy rate of rooms,1
January,North,13.7,2001,Occupancy rate of rooms,1
January,South,9.6,2001,Occupancy rate of rooms,1
January,"West, Westfjords and Southwest to 2007",22.9,2001,Occupancy rate of rooms,1
January,Total,19.7,2001,Occupancy rate of beds,1
January,East,4.9,2001,Occupancy rate of beds,1
January,Capital region,27.5,2001,Occupancy rate of beds,1
January,North,9.8,2001,Occupancy rate of beds,1
January,South,7.4,2001,Occupancy rate of beds,1
January,"West, Westfjords and Southwest to 2007",15.4,2001,Occupancy rate of beds,1
February,Total,41.6,2001,Occupancy rate of rooms,2
February,East,10.5,2001,Occupancy rate of rooms,2
February,Capital region,60.5,2001,Occupancy rate of rooms,2
February,North,18.6,2001,Occupancy rate of rooms,2
February,South,15.3,2001,Occupancy rate of rooms,2
February,"West, Westfjords and Southwest to 2007",25.6,2001,Occupancy rate of rooms,2
February,Total,31.4,2001,Occupancy rate of beds,2
February,East,7.2,2001,Occupancy rate of beds,2
February,Capital region,46.1,2001,Occupancy rate of beds,2
February,North,13.3,2001,Occupancy rate of beds,2
February,South,12.9,2001,Occupancy rate of beds,2
February,"West, Westfjords and Southwest to 2007",17.1,2001,Occupancy rate of beds,2
March,Total,52.7,2001,Occupancy rate of rooms,3
March,East,10.8,2001,Occupancy rate of rooms,3
March,Capital region,73.9,2001,Occupancy rate of rooms,3
March,North,24.5,2001,Occupancy rate of rooms,3
March,South,29.3,2001,Occupancy rate of rooms,3
March,"West, Westfjords and Southwest to 2007",32.3,2001,Occupancy rate of rooms,3
March,Total,41.6,2001,Occupancy rate of beds,3
March,East,7.9,2001,Occupancy rate of beds,3
March,Capital region,58.6,2001,Occupancy rate of beds,3
March,North,18.9,2001,Occupancy rate of beds,3
March,South,24.9,2001,Occupancy rate of beds,3
March,"West, Westfjords and Southwest to 2007",24.1,2001,Occupancy rate of beds,3
April,Total,50.7,2001,Occupancy rate of rooms,4
April,East,6.5,2001,Occupancy rate of rooms,4
April,Capital region,70.0,2001,Occupancy rate of rooms,4
April,North,32.6,2001,Occupancy rate of rooms,4
April,South,25.7,2001,Occupancy rate of rooms,4
April,"West, Westfjords and Southwest to 2007",29.6,2001,Occupancy rate of rooms,4
April,Total,42.2,2001,Occupancy rate of beds,4
April,East,4.6,2001,Occupancy rate of beds,4
April,Capital region,58.7,2001,Occupancy rate of beds,4
April,North,29.2,2001,Occupancy rate of beds,4
April,South,22.4,2001,Occupancy rate of beds,4
April,"West, Westfjords and Southwest to 2007",21.7,2001,Occupancy rate of beds,4
May,Total,55.1,2001,Occupancy rate of rooms,5
May,East,34.5,2001,Occupancy rate of rooms,5
May,Capital region,72.4,2001,Occupancy rate of rooms,5
May,North,31.1,2001,Occupancy rate of rooms,5
May,South,28.4,2001,Occupancy rate of rooms,5
May,"West, Westfjords and Southwest to 2007",42.8,2001,Occupancy rate of rooms,5
May,Total,41.5,2001,Occupancy rate of beds,5
May,East,25.0,2001,Occupancy rate of beds,5
May,Capital region,53.6,2001,Occupancy rate of beds,5
May,North,26.2,2001,Occupancy rate of beds,5
May,South,23.6,2001,Occupancy rate of beds,5
May,"West, Westfjords and Southwest to 2007",31.9,2001,Occupancy rate of beds,5
June,Total,71.7,2001,Occupancy rate of rooms,6
June,East,49.9,2001,Occupancy rate of rooms,6
June,Capital region,84.3,2001,Occupancy rate of rooms,6
June,North,61.3,2001,Occupancy rate of rooms,6
June,South,52.1,2001,Occupancy rate of rooms,6
June,"West, Westfjords and Southwest to 2007",62.6,2001,Occupancy rate of rooms,6
June,Total,57.2,2001,Occupancy rate of beds,6
June,East,37.7,2001,Occupancy rate of beds,6
June,Capital region,67.5,2001,Occupancy rate of beds,6
June,North,51.7,2001,Occupancy rate of beds,6
June,South,43.2,2001,Occupancy rate of beds,6
June,"West, Westfjords and Southwest to 2007",46.2,2001,Occupancy rate of beds,6
July,Total,77.6,2001,Occupancy rate of rooms,7
July,East,68.6,2001,Occupancy rate of rooms,7
July,Capital region,81.3,2001,Occupancy rate of rooms,7
July,North,80.4,2001,Occupancy rate of rooms,7
July,South,73.1,2001,Occupancy rate of rooms,7
