Month,Citizenship,Value,Year,Unit,Month_num
May,Icelanders,14918.0,2000,Overnight stays,5
May,Foreigners,47521.0,2000,Overnight stays,5
June,Total,44283.0,2000,Arrivals,6
June,Icelanders,8531.0,2000,Arrivals,6
June,Foreigners,35752.0,2000,Arrivals,6
June,Total,88540.0,2000,Overnight stays,6
June,Icelanders,13064.0,2000,Overnight stays,6
June,Foreigners,75476.0,2000,Overnight stays,6
July,Total,65802.0,2000,Arrivals,7
July,Icelanders,9591.0,2000,Arrivals,7
July,Foreigners,56211.0,2000,Arrivals,7
July,Total,115894.0,2000,Overnight stays,7
July,Icelanders,13652.0,2000,Overnight stays,7
July,Foreigners,102242.0,2000,Overnight stays,7
August,Total,60869.0,2000,Arrivals,8
August,Icelanders,9259.0,2000,Arrivals,8
August,Foreigners,51610.0,2000,Arrivals,8
August,Total,106380.0,2000,Overnight stays,8
August,Icelanders,13255.0,2000,Overnight stays,8
August,Foreigners,93125.0,2000,Overnight stays,8
September,Total,29412.0,2000,Arrivals,9
September,Icelanders,8339.0,2000,Arrivals,9
September,Foreigners,21073.0,2000,Arrivals,9
September,Total,63683.0,2000,Overnight stays,9
September,Icelanders,12726.0,2000,Overnight stays,9
September,Foreigners,50957.0,2000,Overnight stays,9
October,Total,23798.0,2000,Arrivals,10
October,Icelanders,10156.0,2000,Arrivals,10
October,Foreigners,13642.0,2000,Arrivals,10
October,Total,54673.0,2000,Overnight stays,10
October,Icelanders,15792.0,2000,Overnight stays,10
October,Foreigners,38881.0,2000,Overnight stays,10
November,Total,22204.0,2000,Arrivals,11
November,Icelanders,10266.0,2000,Arrivals,11
November,Foreigners,11938.0,2000,Arrivals,11
November,Total,48799.0,2000,Overnight stays,11
November,Icelanders,15845.0,2000,Overnight stays,11
November,Foreigners,32954.0,2000,Overnight stays,11
December,Total,12871.0,2000,Arrivals,12
December,Icelanders,5333.0,2000,Arrivals,12
December,Foreigners,7538.0,2000,Arrivals,12
December,Total,29354.0,2000,Overnight stays,12
December,Icelanders,7883.0,2000,Overnight stays,12
December,Foreigners,21471.0,2000,Overnight stays,12
January,Total,13312.0,2001,Arrivals,1
January,Icelanders,6090.0,2001,Arrivals,1
January,Foreigners,7222.0,2001,Arrivals,1
January,Total,29685.0,2001,Overnight stays,1
January,Icelanders,9405.0,2001,Overnight stays,1
January,Foreigners,20280.0,2001,Overnight stays,1
February,Total,18709.0,2001,Arrivals,2
February,Icelanders,7129.0,2001,Arrivals,2
February,Foreigners,11580.0,2001,Arrivals,2
February,Total,42705.0,2001,Overnight stays,2
February,Icelanders,11334.0,2001,Overnight stays,2
February,Foreigners,31371.0,2001,Overnight stays,2
March,Total,27379.0,2001,Arrivals,3
March,Icelanders,10041.0,2001,Arrivals,3
March,Foreigners,17338.0,2001,Arrivals,3
March,Total,63152.0,2001,Overnight stays,3
March,Icelanders,17627.0,2001,Overnight stays,3
March,Foreigners,45525.0,2001,Overnight stays,3
April,Total,26243.0,2001,Arrivals,4
April,Icelanders,8624.0,2001,Arrivals,4
April,Foreigners,17619.0,2001,Arrivals,4
April,Total,61988.0,2001,Overnight stays,4
April,Icelanders,15129.0,2001,Overnight stays,4
April,Foreigners,46859.0,2001,Overnight stays,4
May,Total,30002.0,2001,Arrivals,5
May,Icelanders,9740.0,2001,Arrivals,5
May,Foreigners,20262.0,2001,Arrivals,5
May,Total,64335.0,2001,Overnight stays,5
May,Icelanders,14677.0,2001,Overnight stays,5
May,Foreigners,49658.0,2001,Overnight stays,5
June,Total,44647.0,2001,Arrivals,6
June,Icelanders,8044.0,2001,Arrivals,6
June,Foreigners,36603.0,2001,Arrivals,6
June,Total,88301.0,2001,Overnight stays,6
June,Icelanders,11708.0,2001,Overnight stays,6
