Country,YearMonth,Passengers,Year,Month_num,Month
Germany,2003M02,683.0,2003,2,February
Other Countries,2003M02,966.0,2003,2,February
Total Passengers,2003M03,38177.0,2003,3,March
Iceland,2003M03,19640.0,2003,3,March
Foreigners,2003M03,18537.0,2003,3,March
U.S.A.,2003M03,2969.0,2003,3,March
U.K.,2003M03,3812.0,2003,3,March
Denmark,2003M03,1532.0,2003,3,March
Finland,2003M03,545.0,2003,3,March
France,2003M03,1072.0,2003,3,March
Netherlands,2003M03,1146.0,2003,3,March
Italy,2003M03,159.0,2003,3,March
Japan,2003M03,259.0,2003,3,March
Canada,2003M03,134.0,2003,3,March
Norway,2003M03,2064.0,2003,3,March
Spain,2003M03,105.0,2003,3,March
Switzherland,2003M03,126.0,2003,3,March
Sweden,2003M03,2004.0,2003,3,March
Germany,2003M03,1001.0,2003,3,March
Other Countries,2003M03,1609.0,2003,3,March
Total Passengers,2003M04,45955.0,2003,4,April
Iceland,2003M04,25490.0,2003,4,April
Foreigners,2003M04,20465.0,2003,4,April
U.S.A.,2003M04,2838.0,2003,4,April
U.K.,2003M04,5840.0,2003,4,April
Denmark,2003M04,1664.0,2003,4,April
Finland,2003M04,702.0,2003,4,April
France,2003M04,880.0,2003,4,April
Netherlands,2003M04,480.0,2003,4,April
Italy,2003M04,196.0,2003,4,April
Japan,2003M04,146.0,2003,4,April
Canada,2003M04,185.0,2003,4,April
Norway,2003M04,1982.0,2003,4,April
Spain,2003M04,120.0,2003,4,April
Switzherland,2003M04,91.0,2003,4,April
Sweden,2003M04,2227.0,2003,4,April
Germany,2003M04,1009.0,2003,4,April
Other Countries,2003M04,2105.0,2003,4,April
Total Passengers,2003M05,44693.0,2003,5,May
Iceland,2003M05,24320.0,2003,5,May
Foreigners,2003M05,20373.0,2003,5,May
U.S.A.,2003M05,3623.0,2003,5,May
U.K.,2003M05,3960.0,2003,5,May
Denmark,2003M05,1549.0,2003,5,May
Finland,2003M05,736.0,2003,5,May
France,2003M05,967.0,2003,5,May
Netherlands,2003M05,929.0,2003,5,May
Italy,2003M05,222.0,2003,5,May
Japan,2003M05,190.0,2003,5,May
Canada,2003M05,156.0,2003,5,May
Norway,2003M05,2031.0,2003,5,May
Spain,2003M05,303.0,2003,5,May
Switzherland,2003M05,142.0,2003,5,May
Sweden,2003M05,2132.0,2003,5,May
Germany,2003M05,1571.0,2003,5,May
Other Countries,2003M05,1862.0,2003,5,May
Total Passengers,2003M06,66846.0,2003,6,June
Iceland,2003M06,32333.0,2003,6,June
Foreigners,2003M06,34513.0,2003,6,June
